Ticker	DTYYYYMMDD	Open	High	Low	Close	Volume
HNX:VN301!	20220701	1241.0	1243.5	1221.5	1242.0	332852.0
HNX:VN301!	20220704	1247.0	1252.1	1238.1	1242.0	245644.0
HNX:VN301!	20220705	1248.3	1251.9	1234.0	1234.9	332002.0
HNX:VN301!	20220706	1234.8	1234.8	1213.4	1218.0	399286.0
HNX:VN301!	20220707	1215.7	1226.2	1213.0	1225.0	319536.0
HNX:VN301!	20220708	1230.5	1231.8	1223.5	1225.0	210770.0
HNX:VN301!	20220711	1221.0	1221.8	1197.1	1200.7	228673.0
HNX:VN301!	20220712	1202.0	1216.0	1201.9	1213.5	224734.0
HNX:VN301!	20220713	1215.0	1220.1	1209.5	1210.0	251969.0
HNX:VN301!	20220714	1206.8	1217.9	1204.4	1215.7	242699.0
HNX:VN301!	20220715	1219.0	1221.8	1209.2	1210.1	220851.0
HNX:VN301!	20220718	1218.2	1221.0	1212.2	1215.4	179182.0
HNX:VN301!	20220719	1213.9	1216.4	1208.1	1213.0	196947.0
HNX:VN301!	20220720	1223.5	1230.8	1221.4	1226.1	189723.0
HNX:VN301!	20220721	1225.3	1242.0	1225.2	1234.1	203851.0
HNX:VN301!	20220722	1230.5	1234.0	1223.3	1225.6	206418.0
HNX:VN301!	20220725	1221.9	1224.7	1217.2	1221.9	187113.0
HNX:VN301!	20220726	1222.1	1225.5	1217.3	1218.9	154394.0
HNX:VN301!	20220727	1216.0	1223.0	1213.0	1223.0	163202.0
HNX:VN301!	20220728	1228.8	1237.3	1228.3	1231.6	164382.0
HNX:VN301!	20220729	1236.8	1236.9	1229.1	1230.7	167089.0
HNX:VN301!	20220801	1232.1	1246.0	1231.0	1244.4	201273.0
HNX:VN301!	20220802	1244.7	1249.4	1238.3	1245.9	185715.0
HNX:VN301!	20220803	1245.4	1252.9	1242.0	1250.0	220995.0
HNX:VN301!	20220804	1256.0	1260.0	1252.2	1257.5	194731.0
HNX:VN301!	20220805	1259.0	1264.5	1254.7	1264.5	177460.0
HNX:VN301!	20220808	1263.5	1267.8	1261.3	1266.0	136604.0
HNX:VN301!	20220809	1264.5	1275.8	1264.1	1272.7	195809.0
HNX:VN301!	20220810	1271.0	1273.8	1268.6	1270.6	139226.0
HNX:VN301!	20220811	1282.7	1288.0	1268.0	1268.0	201773.0
HNX:VN301!	20220812	1268.0	1280.1	1266.2	1280.1	169296.0
HNX:VN301!	20220815	1285.2	1294.5	1284.7	1293.0	183149.0
HNX:VN301!	20220816	1296.7	1297.5	1291.4	1296.9	181175.0
HNX:VN301!	20220817	1299.8	1311.2	1298.5	1309.0	186828.0
HNX:VN301!	20220818	1306.9	1312.9	1304.6	1304.8	161249.0
HNX:VN301!	20220819	1292.1	1292.1	1276.1	1281.0	191773.0
HNX:VN301!	20220822	1275.0	1278.9	1270.3	1271.0	182989.0
HNX:VN301!	20220823	1265.7	1283.1	1264.4	1283.1	186697.0
HNX:VN301!	20220824	1282.0	1287.8	1278.4	1285.2	189828.0
HNX:VN301!	20220825	1287.0	1304.3	1286.9	1303.0	186414.0
HNX:VN301!	20220826	1305.2	1305.9	1290.0	1293.0	216003.0
HNX:VN301!	20220829	1270.9	1286.0	1264.7	1286.0	236496.0
HNX:VN301!	20220830	1288.7	1295.7	1280.3	1287.0	248903.0
HNX:VN301!	20220831	1282.0	1298.5	1277.6	1293.9	260355.0
HNX:VN301!	20220905	1294.0	1298.5	1282.5	1286.0	237070.0
HNX:VN301!	20220906	1287.5	1295.9	1286.6	1290.0	230645.0
HNX:VN301!	20220907	1283.0	1286.8	1265.0	1265.0	251300.0
HNX:VN301!	20220908	1269.5	1275.6	1263.4	1264.1	297182.0
HNX:VN301!	20220909	1269.0	1275.0	1259.2	1275.0	251090.0
HNX:VN301!	20220912	1281.0	1283.2	1275.1	1276.8	153315.0
HNX:VN301!	20220913	1278.3	1278.8	1272.0	1272.0	147214.0
HNX:VN301!	20220914	1252.0	1262.0	1248.0	1259.0	194063.0
HNX:VN301!	20220915	1261.0	1263.5	1256.6	1262.2	147137.0
HNX:VN301!	20220916	1254.1	1254.3	1233.2	1237.0	175111.0
HNX:VN301!	20220919	1239.0	1239.0	1218.0	1223.5	263820.0
HNX:VN301!	20220920	1228.0	1235.4	1221.6	1232.7	228800.0
HNX:VN301!	20220921	1228.0	1229.0	1213.5	1219.6	297328.0
HNX:VN301!	20220922	1208.0	1225.0	1203.7	1225.0	266297.0
HNX:VN301!	20220923	1221.9	1223.0	1204.0	1210.0	281222.0
HNX:VN301!	20220926	1199.0	1199.0	1173.6	1192.0	312371.0
HNX:VN301!	20220927	1190.7	1196.3	1183.0	1185.0	300289.0
HNX:VN301!	20220928	1173.5	1178.0	1160.9	1165.0	349877.0
HNX:VN301!	20220929	1176.9	1176.9	1148.0	1148.0	271924.0
HNX:VN301!	20220930	1143.9	1164.7	1136.4	1150.0	340512.0
HNX:VN301!	20221003	1145.0	1147.0	1096.8	1102.6	380554.0
HNX:VN301!	20221004	1113.5	1125.0	1093.9	1102.0	412460.0
HNX:VN301!	20221005	1114.0	1134.4	1113.3	1115.2	371725.0
HNX:VN301!	20221006	1118.5	1119.4	1080.0	1080.0	415369.0
HNX:VN301!	20221007	1065.0	1072.0	1025.0	1032.2	446339.0
HNX:VN301!	20221010	1010.1	1050.0	1006.1	1032.5	424593.0
HNX:VN301!	20221011	1024.0	1027.6	979.7	989.0	434143.0
HNX:VN301!	20221012	996.7	1038.9	995.0	1025.1	419387.0
HNX:VN301!	20221013	1027.5	1039.6	1004.6	1039.6	499633.0
HNX:VN301!	20221014	1060.0	1067.0	1043.7	1048.0	300190.0
HNX:VN301!	20221017	1036.0	1050.0	1017.4	1050.0	308351.0
HNX:VN301!	20221018	1055.1	1069.8	1048.9	1057.9	352172.0
HNX:VN301!	20221019	1058.7	1059.5	1045.5	1053.0	331477.0
HNX:VN301!	20221020	1045.2	1059.7	1039.7	1058.0	280262.0
HNX:VN301!	20221021	1038.6	1038.8	981.6	985.0	417973.0
HNX:VN301!	20221024	995.5	996.0	930.2	942.0	462554.0
HNX:VN301!	20221025	940.0	985.0	932.1	961.0	644884.0
HNX:VN301!	20221026	970.0	976.6	954.4	967.5	469459.0
HNX:VN301!	20221027	975.5	1025.0	972.1	1025.0	474823.0
HNX:VN301!	20221028	1027.2	1036.9	1013.6	1016.0	445015.0
HNX:VN301!	20221031	1023.8	1027.9	984.3	1024.0	481272.0
HNX:VN301!	20221101	1030.1	1047.0	1018.0	1018.0	478966.0
HNX:VN301!	20221102	1015.1	1028.8	1003.0	1021.0	487889.0
HNX:VN301!	20221103	1011.0	1024.0	1001.1	1001.1	393434.0
HNX:VN301!	20221104	995.2	996.2	958.1	980.0	491068.0
HNX:VN301!	20221107	980.2	991.0	950.0	950.0	429399.0
HNX:VN301!	20221108	945.1	985.5	935.0	972.1	435319.0
HNX:VN301!	20221109	976.9	988.0	955.5	959.0	410520.0
HNX:VN301!	20221110	951.0	959.6	905.4	912.8	469249.0
HNX:VN301!	20221111	934.1	959.8	930.5	938.0	533652.0
HNX:VN301!	20221114	934.0	938.0	912.7	932.0	592403.0
HNX:VN301!	20221115	926.0	926.9	884.6	895.0	533665.0
HNX:VN301!	20221116	876.1	957.6	860.6	957.6	566744.0
HNX:VN301!	20221117	953.0	973.8	950.2	972.5	291529.0
HNX:VN301!	20221118	960.1	975.5	938.5	963.0	525965.0
HNX:VN301!	20221121	969.3	971.0	938.2	938.2	443488.0
HNX:VN301!	20221122	933.0	990.0	926.0	926.0	588279.0
HNX:VN301!	20221123	933.0	948.0	915.8	924.1	541427.0
HNX:VN301!	20221124	921.0	939.8	918.0	938.9	445450.0
HNX:VN301!	20221125	946.5	969.0	945.3	969.0	363721.0
HNX:VN301!	20221128	975.0	1008.0	972.4	993.7	381565.0
HNX:VN301!	20221129	992.3	1015.5	986.6	1015.5	411056.0
HNX:VN301!	20221130	1020.0	1031.3	1009.7	1027.9	403846.0
HNX:VN301!	20221201	1041.0	1059.8	1029.0	1029.0	415110.0
HNX:VN301!	20221202	1029.0	1101.0	1025.0	1101.0	430013.0
HNX:VN301!	20221205	1108.0	1128.0	1086.7	1104.0	472192.0
HNX:VN301!	20221206	1103.0	1103.0	1046.0	1046.0	477035.0
HNX:VN301!	20221207	1040.0	1062.2	1034.1	1053.3	503186.0
HNX:VN301!	20221208	1052.8	1105.5	1051.5	1055.0	536826.0
HNX:VN301!	20221209	1058.8	1084.0	1046.1	1070.0	566948.0
HNX:VN301!	20221212	1070.0	1074.3	1035.2	1035.2	405984.0
HNX:VN301!	20221213	1039.4	1058.0	1026.0	1058.0	440942.0
HNX:VN301!	20221214	1068.0	1071.3	1048.5	1059.6	382549.0
HNX:VN301!	20221215	1059.4	1079.0	1056.6	1065.1	278784.0
HNX:VN301!	20221216	1059.2	1076.0	1053.8	1060.0	298058.0
HNX:VN301!	20221219	1053.3	1076.0	1045.0	1045.0	294376.0
HNX:VN301!	20221220	1041.5	1044.0	1006.3	1027.0	414837.0
